X,packagename,packagename_orig,logprice,movie_group,start_date,price_orig,cost_no_vat,augsales,imdb_rating,imdb_votes
65,008745_LUS_300_,008745_LUS_300_,5.700443573,70K,9/20/13 0:00,299,149,32,7.8,450693
66,008770_LUS_STEPUP3_,008770_LUS_STEPUP3_,5.988961417,70K,9/6/13 0:00,399,170,92,6.1,33072
67,009363_LUS_ULTIMOEXORCISMO_,009363_LUS_ULTIMOEXORCISMO_,5.855071922,50K,1/10/14 0:00,349,170,41,5.6,33522
68,009382_LUS_VINGSUPRHOMFERRO_,009382_LUS_VINGSUPRHOMFERRO_,5.293304825,70K,9/6/13 0:00,199,100,37,6,4527
69,009690_LUS_RED_,009690_LUS_RED_,5.855071922,70K,9/20/13 0:00,349,170,169,7.1,182197
70,010083_LUS_PRECOTRAICAO_,010083_LUS_PRECOTRAICAO_,5.988961417,70K,9/6/13 0:00,399,170,36,6.3,43168
71,010423_LUS_DIADETREINO_,010423_LUS_DIADETREINO_,5.293304825,70K,9/20/13 0:00,199,100,13,7.7,228864
72,010427_LUS_SONHADORES_,010427_LUS_SONHADORES_,5.293304825,70K,9/20/13 0:00,199,100,9,6.4,110
73,010931_LUS_DISCURSODOREI_,010931_LUS_DISCURSODOREI_,5.855071922,70K,9/6/13 0:00,349,170,47,8.1,323319
74,010965_LUS_BLUEVALENTINE_,010965_LUS_BLUEVALENTINE_,5.855071922,50K,10/18/13 0:00,349,149,13,7.4,106248
75,011003_LUS_GNOMEUEJULIETA_VP_,011003_LUS_GNOMEUEJULIETA_VP_,5.700443573,50K,10/18/13 0:00,299,149,93,8,5
76,011405_LUS_OEXORCISMO_,011405_LUS_OEXORCISMO_,5.855071922,70K,9/20/13 0:00,349,149,21,5.1,2329
77,011406_LUS_TROPAELITE2_,011406_LUS_TROPAELITE2_,5.700443573,100K,11/15/13 0:00,299,149,370,8.1,45517
78,011407_LUS_THEDEPARTED_,011407_LUS_THEDEPARTED_,5.293304825,70K,9/20/13 0:00,199,100,12,8.5,587488
79,011414_LUS_1MAEEMAPUROS_,011414_LUS_1MAEEMAPUROS_,5.855071922,70K,9/6/13 0:00,349,149,17,4.6,3112
80,011979_LUS_SAW6_,011979_LUS_SAW6_,5.855071922,130K,1/10/14 0:00,349,149,22,6,54890
81,011998_LUS_KICKASS_,011998_LUS_KICKASS_,5.700443573,70K,9/20/13 0:00,299,149,119,7.8,324419
82,012017_LUS_AULTIMANOITE_,012017_LUS_AULTIMANOITE_,5.855071922,70K,9/20/13 0:00,349,149,9,6.6,29559
83,012029_LUS_TEKKENOFILME_,012029_LUS_TEKKENOFILME_,5.988961417,70K,9/6/13 0:00,399,256,35,4.9,18307
84,012550_LUS_WINXAVENTURAMAGICA_,012550_LUS_WINXAVENTURAMAGICA_,5.855071922,50K,10/18/13 0:00,349,149,28,4.9,193
85,012576_LUS_OCODIGOBASE_,012576_LUS_OCODIGOBASE_,5.855071922,130K,1/10/14 0:00,349,149,19,7.5,265507
86,012606_LUS_ARTUR3GUERRA2MUNDOS_VP_,012606_LUS_ARTUR3GUERRA2MUNDOS_VP_,5.855071922,50K,10/18/13 0:00,349,149,134,5.5,4022
87,012618_LUS_THEMECHANICOPROFISSIONAL_,012618_LUS_THEMECHANICOPROFISSIONAL_,5.700443573,50K,1/10/14 0:00,299,149,13,6.5,88492
88,012899_LUS_ARVOREDAVIDA_,012899_LUS_ARVOREDAVIDA_,5.855071922,140K,10/18/13 0:00,349,149,21,6.7,107237
89,012908_LUS_BEASTLY_,012908_LUS_BEASTLY_,5.700443573,100K,11/15/13 0:00,299,149,215,5.5,45140
90,012945_LUS_EMPRESTATEUNAMOR_,012945_LUS_EMPRESTATEUNAMOR_,5.855071922,50K,10/18/13 0:00,349,149,276,5.9,36707
91,013410_LUS_ARTURVING2_VP_HD_,013410_LUS_ARTURVING2_VP_HD_,5.855071922,100K,11/15/13 0:00,349,170,48,5.2,3479
92,013634_LUS_LARRYCROWNE_,013634_LUS_LARRYCROWNE_,5.855071922,50K,10/18/13 0:00,349,149,17,6,37226
93,013644_LUS_DIARIONPAIXAO_,013644_LUS_DIARIONPAIXAO_,5.700443573,70K,9/20/13 0:00,299,100,67,8,280906
94,013660_LUS_TINHASMSMSERTU_,013660_LUS_TINHASMSMSERTU_,5.700443573,70K,9/20/13 0:00,299,149,420,6.4,48787
95,013673_LUS_ANIMAISUNIDOS_,013673_LUS_ANIMAISUNIDOS_,5.855071922,70K,9/20/13 0:00,349,100,17,4.9,3597
96,013679_LUS_CACADORESDRAGOES_,013679_LUS_CACADORESDRAGOES_,5.293304825,50K,12/13/13 0:00,199,100,29,6.7,9283
97,014159_LUS_HORAPONTA3_,014159_LUS_HORAPONTA3_,5.293304825,70K,9/6/13 0:00,199,100,50,6.1,91166
98,014173_LUS_ACTIVPARANORMAL_,014173_LUS_ACTIVPARANORMAL_,5.700443573,50K,12/13/13 0:00,299,149,62,6.4,143490
99,014177_LUS_SPYKIDS4_,014177_LUS_SPYKIDS4_,5.700443573,70K,9/6/13 0:00,299,149,87,3.5,10689
100,014682_LUS_COLOMBIANA_,014682_LUS_COLOMBIANA_,5.988961417,70K,9/6/13 0:00,399,170,29,6.4,59284
101,014691_LUS_WANTED_,014691_LUS_WANTED_,5.700443573,130K,2/7/14 0:00,299,149,0,6.7,235083
102,014695_LUS_KILLERELITE_,014695_LUS_KILLERELITE_,5.988961417,50K,1/10/14 0:00,399,170,22,6.5,82140
103,015028_LUS_OSSMURFS_64447_,015028_LUS_OSSMURFS_64447_,5.855071922,100K,11/15/13 0:00,349,149,169,5.5,51760
104,015162_LUS_MEDOPROFUNDO_63035000_,015162_LUS_MEDOPROFUNDO_63035000_,5.855071922,130K,12/13/13 0:00,349,149,43,6,7361
105,015171_LUS_GANGSTERAMERICA_59235000_,015171_LUS_GANGSTERAMERICA_59235000_,5.700443573,130K,2/7/14 0:00,299,149,0,7.8,261827
106,015175_LUS_NSEICELACONSEGUE_62846000_,015175_LUS_NSEICELACONSEGUE_62846000_,5.700443573,70K,9/20/13 0:00,299,170,58,4.7,12949
107,015188_LUS_HOSPICIO_61785000_,015188_LUS_HOSPICIO_61785000_,5.855071922,70K,9/20/13 0:00,349,149,24,5.6,26592
108,015783_LUS_3MOSQUETEIROS_63020000_,015783_LUS_3MOSQUETEIROS_63020000_,5.700443573,50K,12/13/13 0:00,299,170,91,5.8,68242
